tradeDate,symbol,adjClose,volume
2025-01-02,0001.HK,42.1523,5603706
2025-01-02,0002.HK,69.8860,2646076
2025-01-02,0003.HK,55.3586,1665313
2025-01-02,0005.HK,60.0881,31718877
2025-01-02,0006.HK,34.1421,1962751
2025-01-02,0011.HK,114.6996,4865573
2025-01-02,0012.HK,29.3253,1366752
2025-01-02,0016.HK,92.3532,3194200
2025-01-02,0017.HK,29.0792,6588582
2025-01-02,0019.HK,65.3415,3363871
2025-01-02,0023.HK,24.0080,3645657
2025-01-02,0027.HK,47.7953,6297699
2025-01-02,0066.HK,13.9178,3892776
2025-01-02,0083.HK,17.7147,3008574
2025-01-02,0101.HK,11.7542,6405529
2025-01-02,0175.HK,15.8079,35887901
2025-01-02,0241.HK,3.9203,8302979
2025-01-02,0267.HK,44.5657,7524953
2025-01-02,0285.HK,28.3720,4786133
2025-01-02,0288.HK,6.0221,7551523
2025-01-02,0291.HK,51.4311,6253311
2025-01-02,0386.HK,4.0167,57010850
2025-01-02,0388.HK,303.1871,9188962
2025-01-02,0669.HK,93.7376,2265547
2025-01-02,0688.HK,22.2749,7621444
2025-01-02,0700.HK,328.6683,9314269
2025-01-02,0762.HK,5.0760,11191291
2025-01-02,0823.HK,57.4033,4791160
2025-01-02,0857.HK,6.1234,37527694
2025-01-02,0868.HK,12.1636,3855367
2025-01-02,0883.HK,10.8834,25585317
2025-01-02,0939.HK,8.1178,169396179
2025-01-02,0941.HK,66.6144,10935530
2025-01-02,0960.HK,15.0187,4227167
2025-01-02,0968.HK,8.0141,9084353
2025-01-02,1038.HK,49.9569,1903152
2025-01-02,1044.HK,39.8436,1871516
2025-01-02,1088.HK,27.9034,8623753
2025-01-02,1109.HK,34.7236,7737607
2025-01-02,1113.HK,47.3786,5219928
2025-01-02,1177.HK,4.0138,19948104
2025-01-02,1211.HK,244.6132,10551882
2025-01-02,1288.HK,3.0044,211566447
2025-01-02,1299.HK,59.2708,19849333
2025-01-02,1398.HK,5.0158,189026462
2025-01-02,1928.HK,21.6553,11844466
2025-01-02,1997.HK,37.4527,2015999
2025-01-02,2007.HK,1.0000,16885233
2025-01-02,2018.HK,25.2169,5808727
2025-01-02,2020.HK,84.9095,3267629
2025-01-02,2269.HK,36.1694,11089032
2025-01-02,2313.HK,69.6981,4013064
2025-01-02,2318.HK,40.9352,33105675
2025-01-02,2319.HK,31.3708,14761653
2025-01-02,2382.HK,92.2297,10134206
2025-01-02,2388.HK,28.9962,4469163
2025-01-02,2628.HK,38.2323,25256266
2025-01-02,2688.HK,110.8195,3951110
2025-01-02,3328.HK,5.0079,59461092
2025-01-02,3988.HK,2.9975,92923342
2025-01-03,0001.HK,41.6658,7211049
2025-01-03,0002.HK,69.5762,2846530
2025-01-03,0003.HK,55.8518,4339154
2025-01-03,0005.HK,59.6402,33084087
2025-01-03,0006.HK,34.0364,1778720
2025-01-03,0011.HK,113.3678,6497732
2025-01-03,0012.HK,28.7146,2734390
2025-01-03,0016.HK,91.9155,1789994
2025-01-03,0017.HK,28.6697,6204236
2025-01-03,0019.HK,65.3125,1743721
2025-01-03,0023.HK,23.9013,3111473
2025-01-03,0027.HK,47.2753,5983554
2025-01-03,0066.HK,13.5158,4202780
2025-01-03,0083.HK,18.0400,4553978
2025-01-03,0101.HK,11.7609,4347263
2025-01-03,0175.HK,15.5562,26286462
2025-01-03,0241.HK,3.9901,13494798
2025-01-03,0267.HK,43.6474,18393495
2025-01-03,0285.HK,27.5701,7126417
2025-01-03,0288.HK,6.0163,8363632
2025-01-03,0291.HK,52.0218,3329913
2025-01-03,0386.HK,3.9734,23571117
2025-01-03,0388.HK,297.4190,13763439
2025-01-03,0669.HK,92.3664,3322490
2025-01-03,0688.HK,22.0452,7176425
2025-01-03,0700.HK,330.9470,14650604
2025-01-03,0762.HK,4.9994,13405170
2025-01-03,0823.HK,56.8260,5386496
2025-01-03,0857.HK,5.9949,20987289
2025-01-03,0868.HK,12.0551,6291568
2025-01-03,0883.HK,10.5514,18936393
2025-01-03,0939.HK,8.0085,185753485
2025-01-03,0941.HK,66.2409,14630399
2025-01-03,0960.HK,14.8021,4705390
2025-01-03,0968.HK,7.8779,7551074
2025-01-03,1038.HK,49.6377,1688062
2025-01-03,1044.HK,40.4171,2160495
2025-01-03,1088.HK,28.0042,7759733
2025-01-03,1109.HK,34.6119,10715372
2025-01-03,1113.HK,46.7015,1762375
2025-01-03,1177.HK,3.9962,12029191
2025-01-03,1211.HK,233.9034,12508892
2025-01-03,1288.HK,2.9999,151620565
2025-01-03,1299.HK,58.4901,16466684
2025-01-03,1398.HK,4.9645,152220850
2025-01-03,1928.HK,21.5386,5620396
2025-01-03,1997.HK,37.7379,2277496
2025-01-03,2007.HK,1.0000,14138200
2025-01-03,2018.HK,24.6833,2790499
2025-01-03,2020.HK,83.5527,3593107
2025-01-03,2269.HK,35.8412,8079234
2025-01-03,2313.HK,68.6494,2112952
2025-01-03,2318.HK,40.5583,34016052
2025-01-03,2319.HK,31.5396,7381734
2025-01-03,2382.HK,90.3663,4988515
2025-01-03,2388.HK,28.9076,5701153
2025-01-03,2628.HK,37.9204,28100457
